StoreID,StoreCode,StoreName,StoreType,StoreFormat,AddressLine1,AddressLine2,City,StateProvince,PostalCode,Country,Region,Latitude,Longitude,StoreManager,ManagerEmail,ManagerPhone,StoreSizeSqFt,NumberOfEmployees,OpeningDate,ClosingDate,IsFranchise,StoreStatus,TargetRevenue
1,SRC-0001,SRC London Store 1,Flagship,Small,864 Main Street,,London,England,70129,UK,Europe,-37.476899,116.811474,Manager 1,manager1@srcstores.com,-1942018,37888,79,24-02-2011,,TRUE,Active,1419797.37
2,SRC-0002,SRC Berlin Store 2,Outlet,Medium,180 Main Street,,Berlin,Berlin,70289,Germany,Europe,16.550092,58.788843,Manager 2,manager2@srcstores.com,-4554544,20820,79,04-05-2014,14-11-2018,FALSE,Active,9717610.17
3,SRC-0003,SRC San Francisco Store 3,Retail,Small,49 Main Street,,San Francisco,CA,23384,USA,North America,-88.091576,-143.596626,Manager 3,manager3@srcstores.com,-1447562,19066,27,30-12-2018,,TRUE,Active,16134349.21
4,SRC-0004,SRC Mumbai Store 4,Outlet,Medium,720 Main Street,,Mumbai,Maharashtra,11994,India,Asia,65.982483,131.88143,Manager 4,manager4@srcstores.com,-2097149,39883,300,14-08-2019,,TRUE,Active,5406518.14
5,SRC-0005,SRC Seattle Store 5,Retail,Medium,170 Main Street,,Seattle,WA,72733,USA,North America,87.300247,94.344872,Manager 5,manager5@srcstores.com,-7920314,25291,10,08-01-2011,,TRUE,Active,12088780.03
6,SRC-0006,SRC San Francisco Store 6,Flagship,Small,688 Main Street,,San Francisco,CA,93040,USA,North America,-41.973417,78.316561,Manager 6,manager6@srcstores.com,-8526343,39062,156,29-04-2012,,FALSE,Closed,15835621.9
7,SRC-0007,SRC Chicago Store 7,Outlet,Medium,57 Main Street,,Chicago,IL,78361,USA,North America,-38.574736,-32.596154,Manager 7,manager7@srcstores.com,-5395999,5596,102,15-01-2014,,FALSE,Closed,15384494.79
8,SRC-0008,SRC Berlin Store 8,Mall,Medium,745 Main Street,,Berlin,Berlin,57866,Germany,Europe,32.427259,-147.785405,Manager 8,manager8@srcstores.com,-2327615,35340,277,08-04-2014,,TRUE,Active,15335014.32
9,SRC-0009,SRC New York Store 9,Retail,Large,482 Main Street,,New York,NY,47816,USA,North America,86.353656,-41.553883,Manager 9,manager9@srcstores.com,-7364265,2669,236,25-09-2018,,FALSE,Active,13242731.52
10,SRC-0010,SRC Mumbai Store 10,Mall,Large,144 Main Street,,Mumbai,Maharashtra,94043,India,Asia,-43.764567,-0.11086,Manager 10,manager10@srcstores.com,-8356091,26133,180,10-06-2012,,FALSE,Closed,12421537.72
11,SRC-0011,SRC Chicago Store 11,Retail,Large,852 Main Street,,Chicago,IL,70885,USA,North America,-65.13515,16.205751,Manager 11,manager11@srcstores.com,-1294165,17588,228,07-06-2012,,TRUE,Active,13250237.72
12,SRC-0012,SRC Chicago Store 12,Mall,Medium,223 Main Street,,Chicago,IL,28427,USA,North America,-66.717277,-129.198128,Manager 12,manager12@srcstores.com,-6450361,41610,136,28-12-2012,,TRUE,Closed,19870329.48
13,SRC-0013,SRC New York Store 13,Retail,Small,449 Main Street,,New York,NY,17769,USA,North America,0.561329,-74.171406,Manager 13,manager13@srcstores.com,-8687186,49221,250,03-01-2015,,FALSE,Closed,16232352.03
14,SRC-0014,SRC Mumbai Store 14,Flagship,Medium,288 Main Street,,Mumbai,Maharashtra,44893,India,Asia,58.070268,66.314599,Manager 14,manager14@srcstores.com,-3517451,12730,256,22-08-2018,,TRUE,Renovation,4045717.69
15,SRC-0015,SRC Pune Store 15,Mall,Medium,625 Main Street,,Pune,Maharashtra,77148,India,Asia,40.886653,-32.006464,Manager 15,manager15@srcstores.com,-8349051,22692,271,08-11-2015,,TRUE,Closed,14559637.36
16,SRC-0016,SRC New York Store 16,Flagship,Medium,390 Main Street,,New York,NY,41567,USA,North America,29.864412,-36.805781,Manager 16,manager16@srcstores.com,-6670130,26922,252,26-11-2012,,FALSE,Active,2553199.59
17,SRC-0017,SRC New York Store 17,Outlet,Large,561 Main Street,,New York,NY,30247,USA,North America,-6.528485,-13.631403,Manager 17,manager17@srcstores.com,-3637261,26200,85,10-11-2015,,TRUE,Renovation,18940049.76
18,SRC-0018,SRC Mumbai Store 18,Flagship,Small,497 Main Street,,Mumbai,Maharashtra,39221,India,Asia,-45.146093,26.843038,Manager 18,manager18@srcstores.com,-2064681,29416,76,31-03-2011,,FALSE,Renovation,14450675.78
19,SRC-0019,SRC Seattle Store 19,Flagship,Medium,726 Main Street,,Seattle,WA,53289,USA,North America,-46.919473,119.860432,Manager 19,manager19@srcstores.com,-3891714,27891,207,20-12-2013,,FALSE,Closed,18220468.17
20,SRC-0020,SRC San Francisco Store 20,Retail,Medium,795 Main Street,,San Francisco,CA,87955,USA,North America,60.559784,19.723667,Manager 20,manager20@srcstores.com,-7116464,49557,276,13-01-2016,,TRUE,Closed,15383278.79
21,SRC-0021,SRC London Store 21,Mall,Large,506 Main Street,,London,England,87169,UK,Europe,1.159423,147.87411,Manager 21,manager21@srcstores.com,-9211567,30595,28,10-09-2011,,FALSE,Renovation,15760581.18
22,SRC-0022,SRC Hanoi Store 22,Retail,Large,912 Main Street,,Hanoi,Hanoi,12552,Vietnam,Asia,64.681206,45.245427,Manager 22,manager22@srcstores.com,-7485401,10720,164,06-01-2016,,TRUE,Closed,4924255.73
23,SRC-0023,SRC Mumbai Store 23,Outlet,Small,665 Main Street,,Mumbai,Maharashtra,67935,India,Asia,-22.214175,79.651477,Manager 23,manager23@srcstores.com,-3426116,5282,98,27-02-2011,,FALSE,Renovation,11265927.14
24,SRC-0024,SRC Hanoi Store 24,Flagship,Medium,671 Main Street,,Hanoi,Hanoi,49951,Vietnam,Asia,71.59943,46.631901,Manager 24,manager24@srcstores.com,-2668571,26984,257,25-10-2012,,TRUE,Renovation,7874819.05
25,SRC-0025,SRC Hanoi Store 25,Flagship,Medium,464 Main Street,,Hanoi,Hanoi,42770,Vietnam,Asia,1.92126,144.547655,Manager 25,manager25@srcstores.com,-1909989,12807,95,30-10-2012,,FALSE,Active,13413396.45
26,SRC-0026,SRC Seattle Store 26,Mall,Medium,972 Main Street,,Seattle,WA,42522,USA,North America,-29.075913,-123.093045,Manager 26,manager26@srcstores.com,-5723501,11774,79,20-11-2015,,TRUE,Active,2736147.9
27,SRC-0027,SRC London Store 27,Flagship,Small,211 Main Street,,London,England,45862,UK,Europe,-69.720203,-6.568882,Manager 27,manager27@srcstores.com,-9763987,33926,252,03-07-2013,,FALSE,Active,4503085.85
28,SRC-0028,SRC San Francisco Store 28,Mall,Small,355 Main Street,,San Francisco,CA,58793,USA,North America,81.273661,-171.776631,Manager 28,manager28@srcstores.com,-1261298,25200,129,06-12-2015,,TRUE,Active,15641221.54
29,SRC-0029,SRC San Francisco Store 29,Flagship,Small,549 Main Street,,San Francisco,CA,95953,USA,North America,30.271623,-8.266786,Manager 29,manager29@srcstores.com,-6957775,42550,100,28-10-2012,,FALSE,Renovation,19727363.75
30,SRC-0030,SRC Mumbai Store 30,Outlet,Small,764 Main Street,,Mumbai,Maharashtra,89516,India,Asia,44.360869,-175.245428,Manager 30,manager30@srcstores.com,-2852542,22524,50,12-04-2019,,FALSE,Active,9958102.08
31,SRC-0031,SRC London Store 31,Retail,Medium,649 Main Street,,London,England,29835,UK,Europe,10.198815,31.526588,Manager 31,manager31@srcstores.com,-6039531,38236,207,05-01-2014,,TRUE,Renovation,6557718.6
32,SRC-0032,SRC London Store 32,Retail,Medium,638 Main Street,,London,England,37396,UK,Europe,-86.423949,-178.841269,Manager 32,manager32@srcstores.com,-3649529,28505,239,12-01-2012,,FALSE,Active,3430836.82
33,SRC-0033,SRC Hanoi Store 33,Outlet,Small,629 Main Street,,Hanoi,Hanoi,57932,Vietnam,Asia,27.843828,-43.668393,Manager 33,manager33@srcstores.com,-6937312,43635,125,05-08-2012,30-06-2015,TRUE,Renovation,10784406.89
34,SRC-0034,SRC New York Store 34,Flagship,Medium,854 Main Street,,New York,NY,72755,USA,North America,0.589304,-131.336951,Manager 34,manager34@srcstores.com,-5155528,10388,299,05-06-2014,04-10-2019,TRUE,Active,3005188.2
35,SRC-0035,SRC Pune Store 35,Flagship,Large,218 Main Street,,Pune,Maharashtra,69143,India,Asia,-66.903293,-78.886634,Manager 35,manager35@srcstores.com,-1083144,33036,158,16-12-2013,,FALSE,Closed,10604198.71
36,SRC-0036,SRC Seattle Store 36,Mall,Small,709 Main Street,,Seattle,WA,20986,USA,North America,46.430117,125.030055,Manager 36,manager36@srcstores.com,-7831833,37630,276,07-06-2012,,FALSE,Renovation,11505625.77
37,SRC-0037,SRC San Francisco Store 37,Flagship,Large,287 Main Street,,San Francisco,CA,24510,USA,North America,6.970899,-66.18573,Manager 37,manager37@srcstores.com,-7444130,35226,37,28-05-2019,,TRUE,Closed,8720949.66
38,SRC-0038,SRC Pune Store 38,Retail,Large,781 Main Street,,Pune,Maharashtra,68445,India,Asia,-16.039301,-30.815618,Manager 38,manager38@srcstores.com,-4145620,46792,151,13-06-2014,,FALSE,Closed,13121280.26
39,SRC-0039,SRC Chicago Store 39,Retail,Large,855 Main Street,,Chicago,IL,94708,USA,North America,74.691728,81.243425,Manager 39,manager39@srcstores.com,-5750928,47679,286,20-08-2019,,FALSE,Active,19088109.39
40,SRC-0040,SRC Seattle Store 40,Flagship,Large,268 Main Street,,Seattle,WA,96609,USA,North America,-70.170912,152.087095,Manager 40,manager40@srcstores.com,-7697211,29463,97,04-10-2019,,TRUE,Active,15297165.7
41,SRC-0041,SRC Chicago Store 41,Retail,Large,543 Main Street,,Chicago,IL,42537,USA,North America,49.31736,115.303575,Manager 41,manager41@srcstores.com,-8510457,10896,265,06-10-2012,,TRUE,Active,10085769.74
42,SRC-0042,SRC Hanoi Store 42,Outlet,Small,40 Main Street,,Hanoi,Hanoi,42117,Vietnam,Asia,83.57236,-75.913079,Manager 42,manager42@srcstores.com,-1640282,26024,52,01-05-2015,,FALSE,Active,17381128.12
43,SRC-0043,SRC Pune Store 43,Retail,Large,398 Main Street,,Pune,Maharashtra,88852,India,Asia,14.165246,-150.176338,Manager 43,manager43@srcstores.com,-6577442,39318,254,24-01-2014,,FALSE,Active,17246867.45
44,SRC-0044,SRC Chicago Store 44,Outlet,Large,250 Main Street,,Chicago,IL,17125,USA,North America,22.385831,156.220103,Manager 44,manager44@srcstores.com,-3461375,29371,143,10-02-2012,,TRUE,Active,13606692.52
45,SRC-0045,SRC Shanghai Store 45,Flagship,Medium,666 Main Street,,Shanghai,Shanghai,13838,China,Asia,-23.787099,84.112575,Manager 45,manager45@srcstores.com,-9726672,8427,290,18-07-2019,,TRUE,Active,19065536.51
46,SRC-0046,SRC Chicago Store 46,Mall,Medium,978 Main Street,,Chicago,IL,65568,USA,North America,33.404802,19.898922,Manager 46,manager46@srcstores.com,-8816747,22196,294,23-08-2017,,TRUE,Active,18625964.08
47,SRC-0047,SRC Berlin Store 47,Outlet,Large,83 Main Street,,Berlin,Berlin,24191,Germany,Europe,21.887132,48.615317,Manager 47,manager47@srcstores.com,-8791955,11295,150,28-12-2012,,TRUE,Active,6645661.87
48,SRC-0048,SRC Seattle Store 48,Outlet,Medium,818 Main Street,,Seattle,WA,95595,USA,North America,29.490141,-78.053878,Manager 48,manager48@srcstores.com,-1593544,8085,126,22-07-2016,,TRUE,Active,18172972.8
49,SRC-0049,SRC Seattle Store 49,Flagship,Large,620 Main Street,,Seattle,WA,70873,USA,North America,-71.372783,-68.745008,Manager 49,manager49@srcstores.com,-8762369,17707,127,29-09-2014,,TRUE,Closed,16626609.94
50,SRC-0050,SRC Shanghai Store 50,Mall,Medium,44 Main Street,,Shanghai,Shanghai,29410,China,Asia,72.329294,69.258121,Manager 50,manager50@srcstores.com,-2031550,15761,220,19-11-2013,,TRUE,Active,8830454.5
51,SRC-0051,SRC Pune Store 51,Retail,Small,850 Main Street,,Pune,Maharashtra,91227,India,Asia,49.005759,-168.564258,Manager 51,manager51@srcstores.com,-2942327,36009,287,07-12-2017,,TRUE,Active,4732284.17
52,SRC-0052,SRC Mumbai Store 52,Outlet,Large,667 Main Street,,Mumbai,Maharashtra,83981,India,Asia,-15.347374,-93.77674,Manager 52,manager52@srcstores.com,-8759494,27992,95,04-08-2017,,FALSE,Active,19005012.63
53,SRC-0053,SRC San Francisco Store 53,Outlet,Large,242 Main Street,,San Francisco,CA,82201,USA,North America,57.616239,69.255703,Manager 53,manager53@srcstores.com,-1482431,11045,265,23-04-2017,,TRUE,Active,18017664.87
54,SRC-0054,SRC New York Store 54,Mall,Medium,701 Main Street,,New York,NY,22439,USA,North America,-13.880318,123.240323,Manager 54,manager54@srcstores.com,-9262289,6209,178,18-04-2018,,FALSE,Active,19184592.87
55,SRC-0055,SRC Chicago Store 55,Flagship,Small,614 Main Street,,Chicago,IL,34520,USA,North America,-63.961924,33.553475,Manager 55,manager55@srcstores.com,-3897162,47968,138,07-03-2019,,TRUE,Active,6839128.58
56,SRC-0056,SRC Pune Store 56,Mall,Medium,685 Main Street,,Pune,Maharashtra,10759,India,Asia,50.2437,-22.444204,Manager 56,manager56@srcstores.com,-4462753,40196,173,13-01-2016,,FALSE,Active,12863715.8
57,SRC-0057,SRC Pune Store 57,Retail,Large,509 Main Street,,Pune,Maharashtra,47485,India,Asia,46.727659,-105.781568,Manager 57,manager57@srcstores.com,-6309325,19337,107,12-06-2020,,TRUE,Closed,6477112.26
58,SRC-0058,SRC London Store 58,Mall,Large,609 Main Street,,London,England,28043,UK,Europe,-12.297158,-106.251889,Manager 58,manager58@srcstores.com,-7755539,37815,226,10-03-2016,,FALSE,Active,2072953.95
59,SRC-0059,SRC San Francisco Store 59,Flagship,Small,11 Main Street,,San Francisco,CA,35525,USA,North America,53.354086,-10.019088,Manager 59,manager59@srcstores.com,-1162808,38414,154,06-06-2015,,TRUE,Renovation,15939413.62
60,SRC-0060,SRC Hanoi Store 60,Retail,Small,951 Main Street,,Hanoi,Hanoi,42734,Vietnam,Asia,26.990294,-22.141138,Manager 60,manager60@srcstores.com,-2608286,18863,126,07-12-2013,,TRUE,Renovation,10579278.48
61,SRC-0061,SRC Mumbai Store 61,Flagship,Small,87 Main Street,,Mumbai,Maharashtra,73349,India,Asia,-49.289493,-168.210473,Manager 61,manager61@srcstores.com,-1631190,4110,268,07-08-2019,,TRUE,Closed,10923152.83
62,SRC-0062,SRC Shanghai Store 62,Mall,Large,615 Main Street,,Shanghai,Shanghai,68925,China,Asia,-2.446303,-157.424025,Manager 62,manager62@srcstores.com,-5765546,46225,95,23-08-2013,,FALSE,Active,9482907.1
63,SRC-0063,SRC New York Store 63,Retail,Small,112 Main Street,,New York,NY,42466,USA,North America,38.414983,55.542694,Manager 63,manager63@srcstores.com,-8026228,39509,203,25-05-2015,,FALSE,Active,9199859.95
